Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Property_Area,LoanAmount,Total_Income,Loan_Status
1.0,0.0,0.0,0.0,0.0,0.7435897435897436,1.0,1.0,0.6017114746069032,0.3475195388451888,1
1.0,1.0,0.3333333333333333,0.0,0.0,0.7435897435897436,1.0,0.0,0.6017114746069032,0.35758344608893977,0
1.0,1.0,0.0,0.0,1.0,0.7435897435897436,1.0,1.0,0.44756284256837575,0.18179470173543155,1
1.0,1.0,0.0,1.0,0.0,0.7435897435897436,1.0,1.0,0.5866472341800641,0.3056420417682817,1
1.0,0.0,0.0,0.0,0.0,0.7435897435897436,1.0,1.0,0.624303568132514,0.35384677902213135,1
1.0,1.0,0.6666666666666666,0.0,1.0,0.7435897435897436,1.0,1.0,0.7737556767214626,0.470858942841452,1
1.0,1.0,0.0,1.0,0.0,0.7435897435897436,1.0,1.0,0.5321892203889793,0.2436476897045814,1
1.0,1.0,1.0,0.0,0.0,0.7435897435897436,0.0,0.5,0.650910438444966,0.33404629856462287,0
1.0,1.0,0.6666666666666666,0.0,0.0,0.7435897435897436,1.0,1.0,0.6652623492110561,0.33368757953948536,1
1.0,1.0,0.3333333333333333,0.0,0.0,0.7435897435897436,1.0,0.5,0.836567682235287,0.6960189374942651,0
1.0,1.0,0.6666666666666666,0.0,0.0,0.7435897435897436,1.0,1.0,0.46120715105597054,0.24691497888072234,1
1.0,1.0,0.6666666666666666,0.0,0.0,0.7435897435897436,1.0,1.0,0.5642209021210502,0.2734489357757821,1
1.0,1.0,0.6666666666666666,0.0,0.0,0.7435897435897436,1.0,1.0,0.7060645476366747,0.5083256617444964,1
1.0,0.0,0.0,0.0,0.0,0.7435897435897436,1.0,0.0,0.5746803303801158,0.2928594277795258,0
1.0,1.0,0.6666666666666666,0.0,0.0,0.2307692307692308,1.0,1.0,0.13830525715110464,0.1248577095165162,1
1.0,0.0,0.0,0.0,0.0,0.7435897435897436,1.0,1.0,0.5961747864008986,0.30609377650500025,1
1.0,0.0,0.3333333333333333,1.0,0.0,0.4871794871794872,1.0,1.0,0.5441358669126808,0.22677146867394327,1
0.0,0.0,0.0,0.0,0.0,0.7435897435897436,0.0,1.0,0.48029586130880775,0.2207633141686982,0
1.0,1.0,0.0,1.0,0.0,0.7435897435897436,1.0,0.0,0.6106592596449192,0.30291423578301324,0
1.0,1.0,0.0,0.0,0.0,0.7435897435897436,1.0,1.0,0.5767175586222981,0.3579499687928769,1
